population,lat,lon
1457,-12.01349203,-76.85190882
6119,-12.00256417,-77.11808961
13422,-12.00270259,-77.09972952
16688,-12.00277134,-77.09054939
16062,-12.0028398,-77.0813692
16145,-12.00290795,-77.07218896
10525,-12.00297581,-77.06300867
18011,-12.00304336,-77.05382831
13395,-12.00311061,-77.0446479
15644,-12.00331056,-77.01710635
25381,-12.00337661,-77.00792573
22562,-12.00344236,-76.99874505
14273,-12.0035078,-76.98956432
3107,-12.00376658,-76.95284085
2372,-12.00395751,-76.9252977
2010,-12.00402055,-76.91611655
1176,-12.00433123,-76.87021002
1396,-12.00451403,-76.84266549
1117,-12.00457436,-76.83348388
6209,-11.993527,-77.11801903
17451,-11.99359631,-77.10883932
22675,-11.99366531,-77.09965955
28258,-11.99373401,-77.09047973
27979,-11.99380241,-77.08129985
27831,-11.99387052,-77.07211991
14291,-11.99393832,-77.06293992
24216,-11.99400582,-77.05375987
16578,-11.99407302,-77.04457977
17225,-11.99427281,-77.01703914
18977,-11.99433881,-77.00785882
18292,-11.99440451,-76.99867844
1510,-11.99498225,-76.91605269
1595,-11.98442028,-77.12712786
6612,-11.98448983,-77.11794851
12593,-11.98455908,-77.10876911
13773,-11.98462802,-77.09958964
19859,-11.98469667,-77.09041013
22656,-11.98476502,-77.08123055
19059,-11.98483307,-77.07205092
9120,-11.98490082,-77.06287123
13780,-11.98496827,-77.05369149
21296,-11.98503542,-77.04451169
22538,-11.98510226,-77.03533184
30053,-11.98523506,-77.01697197
30055,-11.985301,-77.00779196
30059,-11.98536665,-76.99861189
13885,-11.98549704,-76.98025159
1356,-11.98581776,-76.93434992
4147,-11.98661648,-76.81499958
2893,-11.98667581,-76.80581844
1742,-11.97538315,-77.1270571
6561,-11.97545264,-77.11787805
8968,-11.97552184,-77.10869895
15549,-11.97565933,-77.09034058
20014,-11.97572763,-77.08116131
15444,-11.97579562,-77.07198198
10004,-11.97586332,-77.0628026
11117,-11.97593071,-77.05362316
14464,-11.97599781,-77.04444367
15289,-11.9760646,-77.03526412
20385,-11.97619729,-77.01690487
20381,-11.97626319,-77.00772516
20381,-11.97632878,-76.99854539
18984,-11.97639408,-76.98936557
10472,-11.97645907,-76.9801857
1142,-11.97671605,-76.94346569
1029,-11.97763693,-76.80575834
1560,-11.97769592,-76.79657746
2171,-11.97775461,-76.78739652
2949,-11.977813,-76.77821554
2735,-11.97792888,-76.75985343
1486,-11.96634601,-77.12698639
3042,-11.96648459,-77.10862885
9727,-11.96655344,-77.09945
13224,-11.96662198,-77.09027109
15740,-11.96669022,-77.08109212
15086,-11.96675816,-77.0719131
8969,-11.96682581,-77.06273402
10367,-11.96689315,-77.05355489
11488,-11.96696019,-77.0443757
12546,-11.96702694,-77.03519646
16916,-11.96715953,-77.01683781
16919,-11.96722537,-77.00765841
16924,-11.96729091,-76.99847895
16927,-11.96735616,-76.98929943
15386,-11.9674211,-76.98011987
10834,-11.96748575,-76.97094025
1296,-11.96774132,-76.93422125
1680,-11.96877398,-76.77815641
4587,-11.96883202,-76.76897568
3670,-11.95751613,-77.09938026
10080,-11.95758462,-77.09020165
14788,-11.95765281,-77.08102299
18344,-11.9577207,-77.07184427
10159,-11.95785558,-77.05348667
11285,-11.95792258,-77.04430779
11489,-11.95798927,-77.03512885
16915,-11.95818754,-77.00759171
16924,-11.95825304,-76.99841256
16923,-11.95831823,-76.98923335
16921,-11.95838312,-76.98005409
3041,-11.94820209,-77.13602321
5720,-11.94854726,-77.09013227
13895,-11.9486154,-77.08095392
15040,-11.94868323,-77.0717755
9715,-11.94875077,-77.06259703
10395,-11.94881801,-77.05341851
11286,-11.94888495,-77.04423993
11289,-11.94895159,-77.0350613
14182,-11.94914971,-77.00752507
16919,-11.94921515,-76.99834622
16919,-11.9492803,-76.98916732
16919,-11.94934514,-76.97998836
11749,-11.94940968,-76.97080935
2592,-11.93916498,-77.13595237
1250,-11.93930384,-77.11759677
9964,-11.93950989,-77.09006295
17316,-11.93957797,-77.0808849
14079,-11.93964576,-77.07170679
